HH_ID,AGE_REF,FAM_SIZE,BLS_URBN,REGION,CUTENURE,VEHQ,FINLWT21,TOTEXPCQ,HOUSCQ,TRANSCQ,FOODCQ,HEALTHCQ,ENTERTCQ,MORTGAGE_QTR
0451111,62,1,1,4.0,4,1,24292.839,7722.4666,4450.6667,645.0,1503.3333,0.0,0.0,0.0
0451112,20,2,1,3.0,4,3,45814.915,5218.0333,2330.0,812.0,563.3333,0.0,180.0,0.0
0451114,59,2,1,2.0,2,6,18678.825,38481.4667,11585.0,1864.6667,3867.3334,2418.3334,1078.0,0.0
0451115,51,1,1,2.0,4,1,21215.194,19189.999799999998,7208.0,1790.0,4116.6667,631.0,912.0,0.0
0451117,42,2,1,1.0,2,3,28473.884,39732.3574,15548.0,783.6667,5187.0,2793.6666,554.0,0.0
0451120,44,1,1,2.0,1,0,18481.011,19983.3332,4504.0001,526.6667,1690.0,1967.3333,918.0,0.0
0451121,69,1,1,1.0,2,1,23194.326,9747.0,4547.333299999999,1160.0,2886.0,875.3333,253.0,0.0
0451122,70,2,1,4.0,2,1,23848.893,21720.0,8397.3334,360.0,5243.3333,2861.3333000000002,3098.0,0.0
0451123,38,4,1,2.0,4,3,25265.122,9231.8333,3930.0,2582.0,1733.3333,0.0,64.0,0.0
0451125,71,2,1,3.0,2,2,26260.814,12500.6666,5593.0,161.6667,1863.3333,2023.0,360.0,0.0
0451126,66,1,2,3.0,4,1,29765.694,4423.6666,1389.0,700.0,1206.6666,1080.0,0.0,0.0
0451130,38,2,1,1.0,1,2,23852.119,9325.3334,3592.6667,950.0,1343.3333,2262.0,476.0,0.0
0451131,23,4,1,1.0,4,1,25970.054,13244.0327,5931.3333,710.0,2097.3333,433.3333,0.0,0.0
0451136,35,5,1,4.0,1,2,25926.374,63937.5567,25448.0,10157.3333,7914.0,1046.0,3124.0,0.0
0451137,61,3,1,3.0,1,4,31734.686,37171.4332,10025.3334,4598.0,8840.0,2697.3334,1223.0,0.0
0451138,20,4,1,1.0,4,1,17540.463,16540.3335,7689.0,1606.6667,3683.3334,988.0,508.0,0.0
0451139,46,4,1,4.0,1,2,22581.227,35553.3334,13309.3334,2528.3333000000002,4680.0,2160.0,1221.0,0.0
0451142,25,2,1,1.0,4,0,30464.591,15307.533500000001,5799.0,325.3333,1906.6667,400.0,334.0,0.0
0451143,40,1,1,1.0,4,1,26304.977,28772.266900000002,10478.6667,1215.0,4116.6667,0.0,424.0,0.0
0451144,23,2,2,1.0,1,1,11735.432,8218.8333,3149.0,1637.0,1906.6667,95.0,201.0,0.0
0451146,34,4,1,3.0,1,4,21321.627,40783.0,20546.3333,5019.0,4676.6667,1985.0,150.0,0.0
0451148,87,1,1,3.0,2,1,17697.121,10034.0,2681.3334,463.0,1690.0,2585.3333000000002,389.0,0.0
0451149,35,2,1,4.0,1,2,32667.241,7076.2333,3443.0,400.0,693.3333,88.0,569.0,0.0
0451150,87,2,1,2.0,2,4,25068.201,6109.3333,2699.3333,250.0,1005.3333,890.6667,0.0,0.0
0451153,35,2,1,4.0,4,1,12342.071,14942.5334,9433.6667,481.0,996.6667,900.0,390.0,0.0
0451155,39,7,1,4.0,4,2,37538.26,17479.4001,8105.0,979.0,4116.6667,0.0,594.0,0.0
0451157,54,2,1,4.0,2,3,2863.004,6187.4666,2677.6667,900.0,1430.0,0.0,180.0,0.0
0451158,66,1,1,2.0,4,1,22977.3,4250.9999,2970.3333000000002,282.0,390.0,585.3333,0.0,0.0
0451161,48,2,1,2.0,2,1,22395.562,38615.5001,10071.0,15532.0,3450.0001,3204.6666999999998,1916.0,0.0
0451162,42,1,1,4.0,1,1,2641.63,22485.1667,9545.0,2561.6666999999998,3107.0,52.0,1320.0,0.0
0451164,65,1,1,,2,3,25410.708,3632.6666,1043.6666,431.0,676.0,1042.0,248.0,0.0
0451167,26,2,1,2.0,4,2,27694.785,9526.8333,3891.0,525.0,1486.6667,855.3333,492.0,0.0
0451168,34,2,1,2.0,4,1,38922.753,4577.8334,2283.0,272.0,1560.0,0.0,0.0,0.0
0451169,79,2,1,3.0,4,2,32091.089,14689.6666,6574.0,1147.0,2585.3333000000002,1845.6667,702.0,0.0
0451172,45,5,1,4.0,1,5,15008.559,30930.4577,13435.0,2453.0,5200.0,1032.0,1830.0,0.0
0451174,30,2,1,3.0,1,3,21633.76,9877.1667,2526.3333,1544.0,1516.6667,1060.0,508.0,0.0
0451175,20,5,1,1.0,2,3,19161.984,51014.30009999999,6889.0001,30916.0,6846.6667,1446.6666,1296.0,0.0
0451177,69,2,1,4.0,4,1,7871.343,23692.6668,9604.0,3183.3333000000002,4810.0,2405.3333000000002,440.0,0.0
0451178,56,2,1,2.0,1,2,18513.766,51125.8333,16466.0,6252.3333999999995,7777.3333,2948.6666,525.0,0.0
0451181,38,4,1,4.0,1,5,6331.839,27806.5,10693.000100000001,6029.0,4748.3333,180.0,1274.0,0.0
0451182,46,4,1,3.0,1,2,19738.935,7389.8334,3210.6667,326.6667,1300.0,235.3333,236.0,0.0
0451185,36,1,1,1.0,4,1,21432.104,22121.8338,10165.0,843.3333,6500.0001,780.0,0.0,0.0
