QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,JMKPURQV,JMKP_RQV,JNONFDQV,JNON_DQV,JOTHSTQV,JOTH_TQV,JDINEOQV,JDIN_OQV,JALOUTQV,JALO_TQV,JMLPAYQV,JMLP_YQV,JSCHMLQV,JSCH_LQV,JMKGRCQV,JMKG_CQV,JALHOMQV,JALH_MQV,CIGARETX,CIGA_ETX,JCIGARQV,JCIG_RQV,JOTBACQV,JOTB_CQV,OTHTBACX,OTHT_ACX
20203,04315073,8,0,1,1300,D,650,D,,A,0,D,0,D,,A,,A,650,D,0,D,,A,,A,,A,,A
20203,04315123,7,0,1,260,D,0,D,,A,0,D,0,D,,A,,A,260,D,0,D,,A,,A,,A,,A
20203,04315204,24,0,1,1170,D,195,D,,A,650,D,0,D,,A,,A,975,D,0,D,,A,,A,,A,,A
20203,04315213,57,0,1,1950,D,104,D,,A,845,D,0,D,,A,,A,1846,D,0,D,,A,,A,,A,,A
20203,04315233,43,0,1,715,D,260,D,,A,390,D,0,D,,A,,A,455,D,90,D,,A,,A,,A,,A
20203,04315243,47,0,1,2600,D,0,D,,A,0,D,0,D,,A,,A,2600,D,300,D,,A,,A,,A,,A
20203,04315253,91,0,1,3900,D,975,D,,A,455,D,300,D,,A,,A,2925,D,600,D,,A,,A,390,D,30,D
20203,04315303,38,0,1,260,D,65,D,195,D,1560,D,0,D,,A,,A,195,D,0,D,,A,,A,,A,,A
20203,04315313,29,0,1,520,D,65,D,130,D,130,D,0,D,,A,,A,455,D,0,D,,A,,A,,A,,A
20203,04315353,54,0,1,2275,D,390,D,,A,130,D,0,D,,A,,A,1885,D,480,D,,A,,A,,A,,A
20203,04315373,39,0,1,3900,D,1300,D,,A,650,D,0,D,,A,,A,2600,D,75,D,,A,,A,,A,,A
20203,04315403,30,0,1,1040,D,130,D,,A,325,D,0,D,,A,,A,910,D,0,D,,A,,A,,A,,A
20203,04315423,49,0,1,1820,D,195,D,,A,520,D,0,D,,A,,A,1625,D,0,D,,A,,A,,A,,A
20203,04315493,22,0,1,780,D,195,D,,A,0,D,0,D,,A,,A,585,D,0,D,50,D,650,D,,A,,A
20203,04315503,45,0,1,2990,D,390,D,,A,1560,D,0,D,,A,,A,2600,D,600,D,,A,,A,,A,,A
20203,04315543,22,0,1,650,D,130,D,,A,0,D,0,D,,A,,A,520,D,0,D,,A,,A,,A,,A
20203,04315553,39,0,1,2600,D,650,D,,A,650,D,0,D,,A,,A,1950,D,300,D,,A,,A,,A,,A
20203,04315563,28,0,1,3900,D,1300,D,,A,650,D,0,D,,A,,A,2600,D,0,D,,A,,A,,A,,A
20203,04315593,43,0,1,1950,D,650,D,325,D,1300,D,0,D,,A,,A,1300,D,0,D,35,D,455,D,,A,,A
20203,04315613,32,0,1,1300,D,390,D,520,D,260,D,0,D,,A,,A,910,D,0,D,,A,,A,,A,,A
20203,04315623,21,0,1,390,D,195,D,,A,195,D,0,D,,A,,A,195,D,0,D,,A,,A,,A,,A
20203,04315643,26,0,1,1040,D,260,D,,A,0,D,0,D,,A,,A,780,D,0,D,,A,,A,,A,,A
20203,04315673,15,0,1,1625,D,390,D,455,D,455,D,0,D,,A,,A,1235,D,60,D,,A,,A,,A,,A
20203,04315713,51,0,1,2600,D,195,D,,A,1950,D,0,D,,A,,A,2405,D,0,D,,A,,A,,A,,A
20203,04315763,34,0,1,2600,D,260,D,,A,260,D,0,D,,A,,A,2340,D,75,D,,A,,A,,A,,A
20203,04315783,20,0,1,650,D,260,D,,A,0,D,0,D,,A,,A,390,D,0,D,,A,,A,,A,,A
20203,04315803,17,0,1,1300,D,195,D,,A,260,D,0,D,,A,,A,1105,D,0,D,,A,,A,,A,,A
