QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,LSDNUM,LSDNUM_,LSDCODE,LSDCODE_,MODELYR,MODELYR_,PRCBSNSZ,PRCB_NSZ,NUMPAY,NUMPAY_,PMTMONTH,PMTM_NTH,PAYEXPX,PAYEXPX_,PAYTIME,PAYTIME_,EMPLYEXP,EMPL_EXP,TRADEEXP,TRAD_EXP,DOWNEXP,DOWNEXP_,DNEMPEXP,DNEM_EXP,LSDENDMO,LSDE_DMO,QADPMT1X,QADP_T1X,QADPMT2X,QADP_T2X,QADPMT3X,QADP_T3X,QEXTRA1X,QEXT_A1X,QEXTRA2X,QEXT_A2X,QEXTRA3X,QEXT_A3X,QADDOWNX,QADD_WNX,QADFEEX,QADFEEX_,LSD__AKE,LSDENDYR,LSDE_DYR,PMTYEAR,PMTYEAR_,LSD_MAKE
20202,04242194,15,0,5,01,D,105,D,2019,D,,A,,C,01,D,350,D,3,D,,A,1500,D,2000,D,,A,,A,350,D,350,D,350,D,,A,,A,,A,2000,D,,A,D,,A,2019,D,JEE
20202,04242194,16,0,5,02,D,105,D,2019,D,,A,,C,09,D,375,D,3,D,,A,15000,D,400,D,,A,,A,375,D,375,D,375,D,,A,,A,,A,400,D,,A,D,,A,2018,D,JEE
20202,04242914,19,0,5,01,D,105,D,2018,D,,A,36,D,02,D,350,D,3,D,,A,9000,D,3000,D,,A,,A,350,D,350,D,350,D,,A,,A,,A,3000,D,,A,D,,A,2018,D,ACU
20202,04243364,10,0,1,01,D,105,D,2017,D,,A,36,D,09,D,350,D,3,D,,A,,A,5000,D,,A,,A,350,D,350,D,350,D,,A,,A,,A,5000,D,,A,D,,A,2017,D,JAG
20202,04243624,15,0,5,01,D,105,D,2019,D,,A,36,D,11,D,379,D,3,D,,A,,A,,A,,A,,A,379,D,379,D,379,D,,A,,A,,A,,A,,A,D,,A,2019,D,JEE
20202,04243624,16,0,5,02,D,105,D,2017,D,,A,48,D,05,D,300,D,3,D,,A,,A,300,D,,A,03,D,300,D,,A,,A,,A,,A,,A,300,D,,A,D,,A,2017,D,JEE
20202,04243624,17,0,1,03,D,105,D,2020,D,,A,40,D,04,D,374,D,3,D,,A,,A,,A,,A,,A,,A,374,D,374,D,,A,,A,,A,,A,,A,D,,A,2020,D,JEE
20202,04244084,23,0,5,01,D,105,D,2018,D,,A,39,D,06,D,437,D,3,D,,A,,A,,A,,A,,A,437,D,437,D,437,D,,A,,A,,A,,A,,A,D,,A,2018,D,CAD
20202,04244084,24,0,5,02,D,105,D,2019,D,,A,36,D,08,D,497,D,3,D,,A,,A,,A,,A,,A,497,D,497,D,497,D,,A,,A,,A,,A,,A,D,,A,2019,D,DOD
20202,04245424,19,0,5,01,D,105,D,2019,D,,A,36,D,07,D,495,D,3,D,,A,2000,D,,A,,A,,A,495,D,495,D,495,D,,A,,A,,A,,A,,A,D,,A,2019,D,DOD
20202,04245964,9,0,5,02,D,105,D,2020,D,,A,36,D,03,D,450,D,3,D,,A,,A,,A,,A,,A,450,D,450,D,450,D,2,D,2,D,2,D,,A,,A,D,,A,2020,D,BMW
20202,04246394,6,0,5,01,D,105,D,2018,D,,A,36,D,09,D,190,D,3,D,,A,,A,,A,,A,,A,190,D,190,D,190,D,,A,,A,,A,,A,,A,D,,A,2018,D,CHE
