QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,VOPREGY,VOPREGY_,VOPMO_C,VOPMO_C_,VOPREGX,VOPREGX_,VOPRGY1,VOPRGY1_,VOPRGY2,VOPRGY2_,VOPRGY3,VOPRGY3_,VOPRGY4,VOPRGY4_
20202,04405261,23,0,1,420,D,02,D,350,D,,A,,A,,A,,A
20202,04405282,15,0,1,420,D,02,D,175,D,,A,,A,,A,,A
20202,04405431,36,0,1,430,D,02,D,,H,410,D,425,D,405,D,415,D
20202,04405431,36,1,1,410,D,02,D,13,E,,A,,A,,A,,A
20202,04405431,36,2,1,420,D,02,D,18,E,,A,,A,,A,,A
20202,04405431,36,3,1,405,D,02,D,65,E,,A,,A,,A,,A
20202,04405431,36,4,1,420,D,02,D,65,E,,A,,A,,A,,A
20202,04405581,32,0,1,430,D,04,D,,H,415,D,400,D,,A,,A
20202,04405581,32,1,1,420,D,04,D,511,E,,A,,A,,A,,A
20202,04405581,32,2,1,400,D,04,D,89,E,,A,,A,,A,,A
20202,04405691,14,0,1,420,D,02,D,76,D,,A,,A,,A,,A
20202,04405741,17,0,1,420,D,03,D,55,D,,A,,A,,A,,A
20202,04405741,18,0,1,405,D,03,D,133,F,,A,,A,,A,,A
20202,04405941,37,0,1,420,D,03,D,59,D,,A,,A,,A,,A
20202,04405981,46,0,1,400,D,03,D,42,D,,A,,A,,A,,A
20202,04405981,47,0,1,420,D,02,D,40,D,,A,,A,,A,,A
20202,04405981,48,0,1,420,D,03,D,220,D,,A,,A,,A,,A
20202,04406321,27,0,1,410,D,03,D,35,D,,A,,A,,A,,A
20202,04406321,28,0,1,405,D,03,D,112,D,,A,,A,,A,,A
20202,04406373,37,0,1,430,D,04,D,,H,425,D,405,D,415,D,,A
20202,04406373,37,1,1,405,D,04,D,527,E,,A,,A,,A,,A
20202,04406373,37,2,1,420,D,04,D,234,E,,A,,A,,A,,A
20202,04406373,37,3,1,420,D,04,D,214,E,,A,,A,,A,,A
20202,04406691,21,0,1,420,D,03,D,187,D,,A,,A,,A,,A
20202,04406733,36,0,1,420,D,04,D,140,D,,A,,A,,A,,A
20202,04406921,51,0,1,420,D,04,D,266,D,,A,,A,,A,,A
20202,04406951,41,0,1,420,D,04,D,62,D,,A,,A,,A,,A
20202,04406981,19,0,1,420,D,04,D,155,D,,A,,A,,A,,A
20202,04407041,28,0,1,420,D,04,D,400,F,,A,,A,,A,,A
20202,04407081,29,0,1,410,D,04,D,35,D,,A,,A,,A,,A
20202,04407201,34,0,1,420,D,04,D,89,F,,A,,A,,A,,A
20202,04407301,23,0,1,420,D,05,D,30,D,,A,,A,,A,,A
20202,04407321,43,0,1,420,D,05,D,493,D,,A,,A,,A,,A
20202,04407321,44,0,1,420,D,05,D,950,D,,A,,A,,A,,A
20202,04407381,70,0,1,410,D,05,D,20,D,,A,,A,,A,,A
20202,04407471,31,0,1,405,D,03,D,300,D,,A,,A,,A,,A
