QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,CONTCODE,CONT_ODE,CONTMO,CONTMO_,CONTEXPX,CONT_XPX,CHCKEFT,CHCKEFT_,REBTUSED,REBT_SED
20203,04281624,6,0,1,160,D,07,D,50,D,,A,,A
20203,04281644,6,0,1,800,D,05,D,3400,D,2,D,1,D
20203,04281694,3,0,1,800,D,06,D,100,D,1,D,3,D
20203,04281744,3,0,1,170,D,13,D,600,D,,A,,A
20203,04281744,4,0,1,800,D,05,D,1200,D,1,D,3,D
20203,04281754,2,0,1,160,D,06,D,150,D,,A,,A
20203,04281754,3,0,1,800,D,05,D,1200,D,2,D,1,D
20203,04281764,1,0,1,800,D,06,D,2200,D,2,D,1,D
20203,04281784,3,0,1,800,D,05,D,2900,D,2,D,1,D
20203,04281794,3,0,1,800,D,05,D,2800,D,2,D,2,D
20203,04281844,4,0,1,120,D,13,D,2024,F,,A,,A
20203,04281844,5,0,1,160,D,05,D,200,D,,A,,A
20203,04281914,5,0,1,800,D,05,D,1700,D,2,D,1,D
20203,04281964,1,0,1,800,D,06,D,2400,D,1,D,2,D
20203,04281974,3,0,1,170,D,07,D,150,D,,A,,A
20203,04281974,4,0,1,150,D,13,D,600,D,,A,,A
20203,04281974,5,0,1,800,D,06,D,1200,D,2,D,1,D
20203,04281994,2,0,1,150,D,13,D,425,D,,A,,A
20203,04281994,3,0,1,800,D,05,D,2400,D,2,D,1,D
20203,04282004,5,0,1,800,D,05,D,1200,D,2,D,,C
20203,04282024,3,0,1,150,D,05,D,500,D,,A,,A
20203,04282024,4,0,1,150,D,06,D,100,D,,A,,A
20203,04282024,5,0,1,150,D,07,D,250,D,,A,,A
20203,04282024,6,0,1,160,D,06,D,350,D,,A,,A
20203,04282024,7,0,1,160,D,07,D,135,D,,A,,A
20203,04282024,8,0,1,160,D,06,D,250,D,,A,,A
20203,04282244,4,0,1,170,D,05,D,50,D,,A,,A
20203,04282244,5,0,1,170,D,07,D,75,D,,A,,A
20203,04282244,6,0,1,800,D,05,D,1200,D,1,D,3,D
20203,04282254,1,0,1,170,D,13,D,100,D,,A,,A
20203,04282254,2,0,1,800,D,05,D,1200,D,1,D,1,D
20203,04282334,1,0,1,800,D,06,D,1200,D,2,D,1,D
20203,04282364,2,0,1,800,D,05,D,1200,D,2,D,1,D
20203,04282374,2,0,1,800,D,06,D,1200,D,1,D,3,D
20203,04282394,9,0,1,800,D,05,D,1200,D,2,D,2,D
20203,04282394,10,0,1,800,D,05,D,1200,D,2,D,2,D
20203,04282394,11,0,2,170,D,05,D,25,D,,A,,A
20203,04282404,5,0,1,800,D,06,D,1200,D,2,D,1,D
20203,04282414,1,0,1,800,D,05,D,2400,D,2,D,1,D
20203,04282424,2,0,1,800,D,05,D,2400,D,1,D,1,D
20203,04282434,1,0,1,800,D,05,D,1200,D,2,D,3,D
20203,04282434,2,0,1,800,D,05,D,1200,D,2,D,3,D
20203,04282524,4,0,1,800,D,05,D,3400,D,2,D,1,D
20203,04282544,5,0,1,170,D,07,D,40,D,,A,,A
20203,04282544,6,0,1,160,D,13,D,10,D,,A,,A
20203,04282544,7,0,1,800,D,05,D,1700,D,1,D,3,D
20203,04282604,6,0,1,150,D,13,D,100,D,,A,,A
20203,04282604,7,0,1,800,D,05,D,1700,D,2,D,1,D
20203,04282614,2,0,1,150,D,13,D,80,D,,A,,A
20203,04282614,3,0,1,160,D,06,D,100,D,,A,,A
20203,04282644,10,0,1,160,D,07,D,45,D,,A,,A
20203,04282644,11,0,1,160,D,13,D,35,D,,A,,A
20203,04282644,12,0,1,160,D,13,D,15,D,,A,,A
20203,04282714,16,0,1,160,D,13,D,30,D,,A,,A
20203,04282714,17,0,1,160,D,13,D,10,D,,A,,A
20203,04282724,3,0,1,800,D,06,D,303,D,1,D,3,D
20203,04282744,2,0,1,800,D,06,D,1200,D,1,D,1,D
20203,04282764,3,0,1,160,D,13,D,40,D,,A,,A
20203,04282764,4,0,1,150,D,13,D,20,D,,A,,A
20203,04282764,5,0,1,800,D,05,D,32,D,2,D,1,D
20203,04282854,8,0,1,800,D,05,D,3900,D,1,D,1,D
20203,04282864,2,0,1,800,D,05,D,1800,D,2,D,2,D
20203,04282914,1,0,1,800,D,07,D,1200,D,2,D,1,D
20203,04282934,4,0,1,800,D,05,D,2400,D,1,D,1,D
20203,04282994,2,0,1,170,D,07,D,100,D,,A,,A
20203,04283014,1,0,1,800,D,05,D,2400,D,2,D,1,D
20203,04283014,2,0,2,170,D,05,D,50,D,,A,,A
20203,04283034,2,0,1,150,D,13,D,50,D,,A,,A
20203,04283034,3,0,1,140,D,07,D,50,D,,A,,A
20203,04283034,4,0,1,800,D,05,D,1200,D,1,D,1,D
20203,04283054,2,0,1,160,D,07,D,400,D,,A,,A
20203,04283054,3,0,1,800,D,06,D,2400,D,2,D,1,D
20203,04283064,2,0,1,170,D,07,D,50,D,,A,,A
20203,04283064,3,0,1,140,D,05,D,40,D,,A,,A
20203,04283064,4,0,1,140,D,07,D,40,D,,A,,A
20203,04283064,5,0,1,800,D,05,D,2400,D,1,D,1,D
20203,04283084,3,0,1,800,D,05,D,2400,D,2,D,1,D
20203,04283104,7,0,1,100,D,05,D,200,D,,A,,A
20203,04283104,8,0,1,130,D,06,D,100,D,,A,,A
20203,04283104,9,0,1,150,D,13,D,2000,D,,A,,A
20203,04283104,10,0,1,160,D,07,D,25,D,,A,,A
20203,04283104,11,0,1,160,D,07,D,400,D,,A,,A
20203,04283104,12,0,1,160,D,07,D,50,D,,A,,A
20203,04283104,13,0,1,160,D,07,D,50,D,,A,,A
20203,04283104,14,0,1,160,D,07,D,50,D,,A,,A
20203,04283104,15,0,1,160,D,05,D,50,D,,A,,A
20203,04283104,16,0,1,160,D,05,D,50,D,,A,,A
20203,04283154,3,0,1,800,D,06,D,2400,D,1,D,2,D
20203,04283214,3,0,1,160,D,05,D,60,D,,A,,A
20203,04283214,4,0,1,160,D,07,D,205,D,,A,,A
20203,04283214,5,0,1,800,D,05,D,1200,D,2,D,2,D
20203,04283334,4,0,1,800,D,05,D,2900,D,2,D,1,D
20203,04283404,1,0,1,800,D,05,D,1200,D,2,D,1,D
20203,04283414,3,0,1,800,D,05,D,2400,D,3,D,1,D
20203,04283424,1,0,1,800,D,05,D,1200,D,2,D,3,D
20203,04283454,1,0,1,800,D,05,D,2400,D,3,D,2,D
20203,04283464,1,0,1,800,D,05,D,1200,D,2,D,1,D
20203,04283474,1,0,1,800,D,05,D,1200,D,1,D,3,D
20203,04283494,5,0,1,800,D,05,D,1200,D,1,D,1,D
20203,04283494,6,0,1,800,D,05,D,500,D,1,D,1,D
20203,04283494,7,0,1,800,D,05,D,500,D,1,D,1,D
20203,04283604,5,0,1,160,D,13,D,50,D,,A,,A
20203,04283604,6,0,1,800,D,05,D,4600,D,1,D,1,D
20203,04283644,1,0,1,800,D,05,D,3600,D,2,D,2,D
20203,04283654,1,0,1,800,D,06,D,1200,D,1,D,1,D
20203,04283704,3,0,1,800,D,05,D,1200,D,1,D,3,D
20203,04283714,1,0,1,800,D,05,D,1200,D,2,D,3,D
20203,04283754,4,0,1,160,D,05,D,50,D,,A,,A
20203,04283754,5,0,1,160,D,05,D,50,D,,A,,A
20203,04283754,6,0,1,160,D,06,D,100,D,,A,,A
20203,04283754,7,0,1,160,D,07,D,25,D,,A,,A
20203,04283754,8,0,1,800,D,05,D,2400,D,1,D,3,D
20203,04283834,11,0,1,100,D,07,D,400,D,,A,,A
20203,04283834,12,0,1,170,D,06,D,200,D,,A,,A
20203,04283834,13,0,1,150,D,13,D,3000,D,,A,,A
20203,04283854,2,0,1,800,D,05,D,2900,D,2,D,3,D
20203,04283914,9,0,1,800,D,05,D,2400,D,1,D,3,D
20203,04283944,5,0,1,150,D,06,D,100,D,,A,,A
20203,04283944,6,0,1,800,D,05,D,2400,D,2,D,3,D
