QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,PROP_NOB,PROP0NOB,OWNYB,OWNYB_,OBSNSZB,OBSNSZB_,PROPTYPE,PROP_YPE,ACQUIRMO,ACQU_RMO,ACQUIRYR,ACQU_RYR,OWN_PURX,OWN__URX,OWNDPMTX,OWND_MTX,CLOSECST,CLOS_CST,QADPTAX,QADPTAX_,TIMESHAR,TIME_HAR,SHARWKS,SHARWKS_,SHARED1,SHARED1_,SHARPER1,SHAR_ER1,SHARED2,SHARED2_,SHARPER2,SHAR_ER2,GIFTPROP,GIFT_ROP,BSNEXP2,BSNEXP2_,DEEDED,DEEDED_
20211,04620331,16,0,1,01,D,100,D,,A,3,D,10,F,2011,D,,A,,A,,A,2100,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20211,04620341,20,0,1,01,D,100,D,,A,3,D,,B,2014,D,,A,,A,,A,3500,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20211,04620471,10,0,1,01,D,100,D,,A,3,D,11,F,2014,D,,A,,A,,A,5000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20211,04620561,16,0,1,01,D,100,D,,A,3,D,,B,1996,D,,A,,A,,A,1400,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20211,04620591,9,0,1,01,D,100,D,,A,3,D,11,F,2003,D,,A,,A,,A,8000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20211,04620641,7,0,1,01,D,100,D,,A,3,D,,B,1992,D,,A,,A,,A,50,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20211,04620651,12,0,1,01,D,100,D,,A,3,D,,B,2000,D,,A,,A,,A,8000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20211,04620661,17,0,1,01,D,100,D,,A,3,D,10,F,2018,D,,A,,A,,A,2900,F,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20211,04620681,11,0,1,01,D,100,D,0.25,D,3,D,,B,2011,D,,A,,A,,A,2000,D,,A,,A,,A,,A,2,D,,A,,A,,A,,A
20211,04620711,12,0,1,01,D,100,D,,A,3,D,,B,1992,D,,A,,A,,A,4100,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20211,04620911,47,0,1,01,D,100,D,,A,3,D,,B,2015,D,,A,,A,,A,2200,F,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20211,04620911,48,0,1,02,D,300,D,,A,3,D,,B,2019,D,,A,,A,,A,2600,F,2,D,,A,,A,,A,1,D,,C,,A,,A,,A
20211,04620931,10,0,1,01,D,100,D,,A,3,D,,B,2017,D,,A,,A,,A,4100,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20211,04621021,21,0,1,01,D,100,D,,A,3,D,,B,1984,D,,A,,A,,A,400,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20211,04621071,13,0,1,01,D,100,D,,A,3,D,,B,1970,D,,A,,A,,A,700,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20211,04621171,19,0,1,01,D,100,D,,A,3,D,10,F,2013,D,,A,,A,,A,2100,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20211,04621221,18,0,1,01,D,100,D,,A,3,D,,B,1983,D,,A,,A,,A,2400,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20211,04621241,9,0,1,01,D,100,D,,A,3,D,,B,2017,D,,A,,A,,A,2700,F,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20211,04621321,6,0,1,01,D,100,D,,A,3,D,12,F,1997,D,,A,,A,,A,840,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20211,04621351,9,0,1,01,D,100,D,,A,3,D,,B,1997,D,,A,,A,,A,0,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20211,04621371,12,0,1,01,D,100,D,,A,3,D,,B,2019,D,,A,,A,,A,5000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20211,04621431,14,0,1,01,D,100,D,,A,3,D,,B,2013,D,,A,,A,,A,0,D,,A,,A,,A,,A,1,D,1,D,,A,2,D,,A
20211,04621491,14,0,1,01,D,100,D,,A,3,D,,B,2013,D,,A,,A,,A,2500,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
