QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,TELBSNZ,TELBSNZ_,TELRESD,TELRESD_,TELCELL,TELCELL_,TINTNET,TINTNET_,TCABLE,TCABLE_,BILPERD,BILPERD_,QADINE1X,QADI_E1X,QADINE2X,QADI_E2X,QADINE3X,QADI_E3X,QADCAB1X,QADC_B1X,QADCAB2X,QADC_B2X,QADCAB3X,QADC_B3X,TELRES1X,TELR_S1X,TELRES2X,TELR_S2X,TELRES3X,TELR_S3X,TELCEL1X,TELC_L1X,TELCEL2X,TELC_L2X,TELCEL3X,TELC_L3X,TELBLPRS,TELB_PRS,TPHONE,TPHONE_
20202,04216364,20,0,1,,A,,A,,A,1,D,1,D,,A,36,E,35,E,36,E,84,E,85,E,84,E,,A,,A,,A,,A,,A,,A,2,D,2,D
20202,04216364,21,0,1,,A,,A,,A,2,D,1,D,,A,,A,,A,,A,166,D,166,D,166,D,,A,,A,,A,,A,,A,,A,,A,2,D
20202,04216364,22,0,1,,A,1,D,,A,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,50,D,50,D,50,D,,A,,A,,A,,A,1,D
20202,04216384,11,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,60,D,60,D,60,D,,A,1,D
20202,04216384,12,0,1,,A,,A,,A,1,D,2,D,,A,10,D,10,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20202,04216414,21,0,1,,A,,A,,A,1,D,2,D,,A,37,D,37,D,37,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20202,04216414,22,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,40,D,40,D,40,D,,A,1,D
20202,04216464,28,0,1,,A,1,D,,A,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,70,D,70,D,70,D,,A,,A,,A,,A,1,D
20202,04216464,29,0,1,,A,1,D,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,16,E,16,E,16,E,24,E,24,E,24,E,,A,1,D
20202,04216464,30,0,1,,A,,A,,A,1,D,2,D,,A,75,D,75,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20202,04216514,47,0,1,,A,,A,2,D,2,D,2,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,0,D,146,D,146,D,,A,1,D
20202,04216514,48,0,1,,A,,A,,A,2,D,1,D,,A,,A,,A,,A,74,D,74,D,74,D,,A,,A,,A,,A,,A,,A,,A,2,D
20202,04216544,42,0,1,,A,1,D,,A,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,208,D,208,D,208,D,,A,,A,,A,,A,1,D
20202,04216554,5,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,60,D,60,D,60,D,,A,1,D
20202,04216554,6,0,1,,A,,A,,A,2,D,1,D,,A,,A,,A,,A,94,D,94,D,94,D,,A,,A,,A,,A,,A,,A,,A,2,D
20202,04216604,29,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,200,D,200,D,200,D,,A,1,D
20202,04216604,30,0,1,,A,,A,,A,1,D,2,D,,A,62,D,62,D,62,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20202,04216684,18,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,27,D,27,D,27,D,,A,1,D
20202,04216684,19,0,1,,A,,A,,A,1,D,1,D,,A,51,E,52,E,52,E,87,E,86,E,86,E,,A,,A,,A,,A,,A,,A,2,D,2,D
20202,04216744,42,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,130,D,130,D,130,D,,A,1,D
20202,04216744,43,0,1,,A,,A,,A,1,D,2,D,,A,80,D,80,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20202,04216754,29,0,1,,A,1,D,,A,1,D,2,D,,A,44,D,44,D,44,D,,A,,A,,A,62,D,62,D,62,D,,A,,A,,A,1,D,1,D
20202,04216754,30,0,1,,A,,A,,A,2,D,1,D,,A,,A,,A,,A,128,D,128,D,128,D,,A,,A,,A,,A,,A,,A,,A,2,D
20202,04216764,71,0,1,,A,,A,,A,1,D,2,D,,A,70,D,70,D,70,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20202,04216784,8,0,1,,A,1,D,,A,1,D,1,D,,A,50,E,50,E,49,E,82,E,81,E,83,E,28,E,29,E,28,E,,A,,A,,A,2,D,1,D
20202,04216804,78,0,1,,A,,A,,A,2,D,1,D,,A,,A,,A,,A,181,D,181,D,181,D,,A,,A,,A,,A,,A,,A,,A,2,D
20202,04216804,79,0,1,0.50,D,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,125,D,125,D,125,D,,A,1,D
20202,04216804,80,0,1,,A,,A,,A,1,D,2,D,,A,94,D,94,D,94,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20202,04216814,22,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,85,D,67,D,67,D,,A,1,D
20202,04216814,23,0,1,,A,1,D,,A,1,D,2,D,,A,27,E,28,E,27,E,,A,,A,,A,28,E,27,E,28,E,,A,,A,,A,2,D,1,D
20202,04216814,24,0,1,,A,,A,,A,2,D,1,D,,A,,A,,A,,A,136,D,136,D,136,D,,A,,A,,A,,A,,A,,A,,A,2,D
20202,04216864,40,0,1,,A,1,D,,A,1,D,1,D,,A,44,E,43,E,43,E,66,E,63,E,67,E,40,E,44,E,40,E,,A,,A,,A,2,D,1,D
