QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,MISCCODE,MISC_ODE,MISCMO,MISCMO_,MISCGFTC,MISC_FTC,MISCEXPX,MISC_XPX,MISCDE1,MISCDE1_,MISCDE2,MISCDE2_,MISCDE3,MISCDE3_,MISCDE4,MISCDE4_,MISCDE5,MISCDE5_,MISCDE6,MISCDE6_,MISCDE7,MISCDE7_,MISCDE8,MISCDE8_,MISCDE9,MISCDE9_
20202,04217314,23,0,1,180,D,02,D,1,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217314,24,0,1,180,D,03,D,1,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217314,25,0,1,460,D,01,D,1,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217314,26,0,1,250,D,01,D,1,D,137,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217314,27,0,1,240,D,01,D,1,D,110,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217394,6,0,1,160,D,02,D,1,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217394,7,0,1,380,D,13,D,1,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217404,19,0,1,160,D,01,D,1,D,35,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217404,20,0,1,330,D,01,D,2,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217404,21,0,1,240,D,02,D,1,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217404,22,0,1,240,D,13,D,1,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217414,8,0,1,160,D,03,D,1,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217424,9,0,1,260,D,02,D,1,D,70,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217464,11,0,1,340,D,03,D,1,D,61,F,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217514,21,0,1,240,D,13,D,1,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217544,6,0,1,170,D,03,D,1,D,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217544,7,0,1,240,D,13,D,1,D,84,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217574,18,0,1,140,D,03,D,1,D,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217574,19,0,1,230,D,13,D,1,D,195,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217574,20,0,1,240,D,02,D,1,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217574,21,0,1,330,D,02,D,2,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217574,22,0,1,260,D,02,D,1,D,600,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217594,15,0,1,170,D,01,D,1,D,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217694,9,0,1,240,D,01,D,1,D,175,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217724,13,0,1,250,D,02,D,1,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217804,11,0,1,160,D,03,D,1,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217844,21,0,1,240,D,03,D,1,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217844,22,0,2,330,D,01,D,1,D,360,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217954,7,0,2,240,D,01,D,1,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217984,14,0,1,160,D,03,D,1,D,110,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217984,15,0,1,260,D,03,D,1,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218014,35,0,1,400,D,03,D,1,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218054,8,0,1,160,D,02,D,1,D,450,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218054,9,0,1,170,D,13,D,1,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218064,22,0,1,160,D,02,D,1,D,215,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218064,23,0,1,260,D,02,D,1,D,168,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218064,24,0,2,260,D,01,D,1,D,160,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218074,28,0,1,170,D,02,D,1,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218074,29,0,1,330,D,02,D,1,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218074,30,0,1,340,D,02,D,1,D,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218074,31,0,1,250,D,02,D,1,D,66,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218084,26,0,1,160,D,03,D,1,D,723,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218084,27,0,1,370,D,13,D,1,D,26,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218134,33,0,1,160,D,02,D,1,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218134,34,0,1,380,D,03,D,1,D,130,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218134,35,0,1,370,D,13,D,1,D,39,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218244,4,0,1,370,D,13,D,1,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218284,17,0,1,240,D,13,D,1,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218354,28,0,1,140,D,02,D,2,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
