QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,MAJAPPLY,MAJA_PLY,GFTC_MAJ,GFTC0MAJ,MAJ_MO,MAJ_MO_,MAJPURX,MAJPURX_,MAJRENTX,MAJR_NTX,MAJINSTX,MAJI_STX,MJAPPL1,MJAPPL1_,MJAPPL2,MJAPPL2_,MJAPPL3,MJAPPL3_,MJAPPL4,MJAPPL4_,MJAPPL5,MJAPPL5_,MJAPPL6,MJAPPL6_,MJAPPL7,MJAPPL7_,MJAPPL8,MJAPPL8_,MJAPPL9,MJAPPL9_
20204,04512002,2,0,2,220,D,1,D,09,D,,H,,A,,A,220,D,120,D,,A,,A,,A,,A,,A,,A,,A
20204,04512002,2,1,2,120,D,1,D,09,D,43,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04512002,2,2,2,160,D,1,D,09,D,215,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04512002,2,3,2,195,D,1,D,09,D,250,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04512262,1,0,1,100,D,1,D,09,D,65,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04512302,1,0,1,220,D,1,D,09,D,,H,,A,,A,100,D,120,D,,A,,A,,A,,A,,A,,A,,A
20204,04512302,1,1,1,100,D,1,D,09,D,2221,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04512302,1,2,1,120,D,1,D,09,D,666,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04512522,1,0,1,160,D,1,D,11,D,645,D,,A,7,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04513282,1,0,1,195,D,1,D,11,D,600,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04513842,1,0,1,120,D,1,D,09,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04514032,1,0,1,160,D,1,D,11,D,721,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04514282,1,0,1,195,D,1,D,11,D,1900,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04514422,1,0,1,140,D,1,D,09,D,590,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04514442,1,0,1,140,D,1,D,11,D,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04514462,1,0,1,140,D,1,D,09,D,125,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04544451,1,0,1,100,D,1,D,08,D,3100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04544911,1,0,1,160,D,1,D,09,D,991,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04545341,1,0,1,140,D,1,D,07,D,1000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04545901,1,0,1,100,D,1,D,09,D,827,D,,A,15,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
