QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,FURNPURY,FURN_URY,FURNMO,FURNMO_,FURNGFTC,FURN_FTC,FURNPURX,FURN_URX,FRNPRY1,FRNPRY1_,FRNPRY2,FRNPRY2_,FRNPRY3,FRNPRY3_,FRNPRY4,FRNPRY4_,FRNPRY5,FRNPRY5_,FRNPRY6,FRNPRY6_,FRNPRY7,FRNPRY7_,FRNPRY8,FRNPRY8_,FRNPRY9,FRNPRY9_
20202,04220884,15,0,1,201,D,03,D,1,D,109,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04221054,7,0,2,181,D,01,D,1,D,94,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04221074,18,0,1,173,D,03,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04221074,19,0,1,181,D,02,D,1,D,15,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04221094,6,0,1,205,D,03,D,1,D,55,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04221114,6,0,1,205,D,03,D,1,D,12,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04221194,4,0,2,171,D,01,D,1,D,11,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04221204,4,0,1,200,D,03,D,1,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04221264,7,0,1,171,D,03,D,1,D,24,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04221264,8,0,1,181,D,03,D,1,D,4,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04221324,4,0,1,200,D,02,D,1,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04221354,19,0,1,110,D,02,D,1,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04221354,20,0,1,171,D,03,D,1,D,130,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
