QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,S17CODEA,S17C_DEA,S17GFTCA,S17G_TCA,SUBEXPX,SUBEXPX_,SUBMO,SUBMO_
20202,04219154,23,0,1,210,D,1,D,50,D,02,D
20202,04219154,24,0,1,340,D,1,D,15,D,03,D
20202,04219224,39,0,1,830,D,1,D,10,D,13,D
20202,04219224,40,0,1,150,D,1,D,60,D,01,D
20202,04219224,41,0,1,355,D,1,D,5,D,13,D
20202,04219294,14,0,1,830,D,1,D,20,D,13,D
20202,04219294,15,0,1,820,D,1,D,50,D,01,D
20202,04219294,16,0,1,820,D,1,D,50,D,02,D
20202,04219294,17,0,1,820,D,1,D,50,D,03,D
20202,04219294,18,0,1,330,D,1,D,10,D,13,D
20202,04219294,19,0,1,330,D,1,D,11,D,13,D
20202,04219294,20,0,1,355,D,1,D,22,D,13,D
20202,04219374,42,0,1,830,D,1,D,400,D,01,D
20202,04219374,43,0,1,210,D,1,D,20,D,01,D
20202,04219374,44,0,1,355,D,1,D,9,D,13,D
20202,04219374,45,0,2,820,D,1,D,95,D,01,D
20202,04219374,46,0,2,520,D,1,D,50,D,01,D
20202,04219374,47,0,2,150,D,1,D,425,D,01,D
20202,04219374,48,0,2,150,D,1,D,325,D,01,D
20202,04219384,47,0,1,840,D,1,D,13,D,01,D
20202,04219384,48,0,1,840,D,1,D,13,D,02,D
20202,04219384,49,0,1,840,D,1,D,13,D,03,D
20202,04219394,26,0,1,320,D,1,D,100,D,02,D
20202,04219394,27,0,1,330,D,1,D,10,D,13,D
20202,04219394,28,0,1,355,D,1,D,12,D,13,D
20202,04219494,47,0,2,840,D,1,D,13,D,01,D
20202,04219524,26,0,1,830,D,1,D,20,D,13,D
20202,04219524,27,0,1,330,D,1,D,20,D,13,D
20202,04219524,28,0,1,355,D,1,D,13,D,13,D
20202,04219564,15,0,1,830,D,1,D,108,D,13,D
20202,04219564,16,0,1,330,D,1,D,10,D,13,D
20202,04219564,17,0,2,150,D,1,D,13,D,01,D
20202,04219574,9,0,1,370,D,1,D,60,D,03,D
20202,04219584,30,0,1,210,D,1,D,30,D,13,D
20202,04219584,31,0,2,150,D,1,D,35,D,01,D
20202,04219694,36,0,1,210,D,1,D,35,D,03,D
20202,04219694,37,0,1,700,D,1,D,135,D,13,D
20202,04219824,25,0,1,840,D,1,D,120,D,01,D
20202,04219864,18,0,1,160,D,1,D,10,D,01,D
20202,04219864,19,0,1,160,D,1,D,10,D,02,D
20202,04219864,20,0,1,160,D,1,D,10,D,03,D
20202,04219864,21,0,1,700,D,1,D,83,D,03,D
20202,04219864,22,0,1,340,D,1,D,25,D,02,D
20202,04219864,23,0,1,355,D,1,D,12,D,13,D
20202,04219884,34,0,2,520,D,1,D,100,D,01,D
20202,04219884,35,0,2,340,D,1,D,16,D,01,D
20202,04219914,21,0,1,840,D,1,D,45,D,01,D
20202,04219924,34,0,1,840,D,1,D,125,D,02,D
20202,04219924,35,0,1,840,D,1,D,60,D,03,D
20202,04219924,36,0,1,610,D,1,D,270,D,01,D
20202,04219974,16,0,1,840,D,1,D,7,D,02,D
20202,04219974,17,0,1,840,D,1,D,7,D,03,D
20202,04219974,18,0,1,355,D,1,D,3,D,03,D
20202,04219974,19,0,1,370,D,1,D,20,D,03,D
20202,04219974,20,0,2,840,D,1,D,7,D,01,D
20202,04220034,47,0,2,150,D,1,D,25,D,01,D
20202,04220164,10,0,1,520,D,1,D,40,D,02,D
20202,04220164,11,0,1,160,D,1,D,11,D,03,D
20202,04220234,43,0,1,355,D,1,D,30,D,13,D
20202,04220234,44,0,2,210,D,1,D,50,D,01,D
20202,04220274,31,0,1,840,D,1,D,45,D,01,D
20202,04220274,32,0,1,160,D,1,D,161,D,03,D
20202,04220274,33,0,1,355,D,1,D,58,D,13,D
20202,04220314,17,0,1,830,D,1,D,15,D,13,D
20202,04220314,18,0,1,830,D,1,D,50,D,02,D
20202,04220314,19,0,1,830,D,1,D,160,D,01,D
20202,04220314,20,0,1,600,D,1,D,23,D,02,D
20202,04220314,21,0,1,500,D,1,D,18,D,02,D
20202,04220374,27,0,1,840,D,1,D,100,D,03,D
20202,04220404,52,0,1,830,D,1,D,25,D,01,D
20202,04220404,53,0,1,830,D,1,D,25,D,02,D
20202,04220404,54,0,1,840,D,1,D,60,D,03,D
20202,04220404,55,0,1,840,D,1,D,149,D,01,D
20202,04220404,56,0,1,840,D,1,D,149,D,02,D
20202,04220404,57,0,1,840,D,1,D,149,D,02,D
20202,04220404,58,0,1,520,D,1,D,23,D,01,D
20202,04220404,59,0,1,520,D,1,D,23,D,01,D
