QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,NUMYUPD,NUMYUPD_,TOTYUPDX,TOTY_PDX,TOTYUPDY,TOTY_PDY
20203,04327543,47,2,1,,A,38,E,110,D
20203,04327543,47,3,1,,A,77,E,120,D
20203,04327613,60,0,1,1,D,,H,,A
20203,04327613,60,1,1,,A,69,E,100,D
20203,04327613,60,2,1,,A,31,E,110,D
20203,04343243,29,0,1,1,D,,H,,A
20203,04343243,29,1,1,,A,251,E,100,D
20203,04343243,29,2,1,,A,65,E,110,D
20203,04343243,29,3,1,,A,218,E,120,D
20203,04343243,29,4,1,,A,866,E,150,D
20203,04345263,37,0,1,2,D,,H,,A
20203,04345263,37,1,1,,A,80,E,100,D
20203,04345263,37,2,1,,A,20,E,110,D
20203,04345263,37,3,1,,A,72,E,120,D
20203,04345263,37,4,1,,A,278,E,150,D
20203,04346803,40,0,1,1,D,,H,,A
20203,04346803,40,1,1,,A,149,E,100,D
20203,04346803,40,2,1,,A,51,E,110,D
20203,04348813,12,0,1,2,D,,H,,A
20203,04348813,12,1,1,,A,258,E,100,D
20203,04348813,12,2,1,,A,101,E,110,D
20203,04348813,12,3,1,,A,76,E,120,D
20203,04348813,12,4,1,,A,324,E,130,D
20203,04348813,12,5,1,,A,441,E,150,D
20203,04351083,40,0,1,1,D,,H,,A
20203,04351083,40,1,1,,A,98,E,100,D
20203,04351083,40,2,1,,A,33,E,110,D
20203,04351083,40,3,1,,A,21,E,210,D
20203,04351083,40,4,1,,A,48,E,220,D
20203,04379362,41,0,1,2,D,,H,,A
20203,04379362,41,1,1,,A,79,E,100,D
20203,04379362,41,2,1,,A,21,E,110,D
20203,04382032,28,0,1,1,D,,H,,A
20203,04382032,28,1,1,,A,105,E,100,D
20203,04382032,28,2,1,,A,46,E,110,D
20203,04382032,28,3,1,,A,299,E,130,D
20203,04382382,23,0,1,1,D,,H,,A
20203,04382382,23,1,1,,A,42,E,100,D
20203,04382382,23,2,1,,A,64,E,120,D
20203,04382382,23,3,1,,A,2,E,140,D
20203,04382382,23,4,1,,A,111,E,150,D
20203,04382382,23,5,1,,A,131,E,160,D
20203,04383362,11,0,1,1,D,,H,,A
20203,04383362,11,1,1,,A,196,E,100,D
20203,04383362,11,2,1,,A,163,E,110,D
20203,04383362,11,3,1,,A,105,E,120,D
20203,04383362,11,4,1,,A,285,E,130,D
20203,04383362,11,5,1,,A,21,E,140,D
20203,04383362,11,6,1,,A,230,E,150,D
20203,04384852,36,0,1,2,D,,H,,A
20203,04384852,36,1,1,,A,234,E,100,D
20203,04384852,36,2,1,,A,81,E,110,D
20203,04384852,36,3,1,,A,106,E,120,D
20203,04384852,36,4,1,,A,896,E,130,D
20203,04384852,36,5,1,,A,11,E,140,D
20203,04384852,36,6,1,,A,51,E,210,D
20203,04384852,36,7,1,,A,121,E,220,D
20203,04386873,91,0,1,2,D,,H,,A
20203,04386873,91,1,1,,A,9,E,210,D
20203,04386873,91,2,1,,A,26,E,220,D
20203,04390442,15,0,1,3,D,,H,,A
20203,04390442,15,1,1,,A,476,E,100,D
20203,04390442,15,2,1,,A,124,E,110,D
20203,04392232,33,0,1,1,D,,H,,A
20203,04392232,33,1,1,,A,862,E,100,D
20203,04392232,33,2,1,,A,301,E,110,D
20203,04392232,33,3,1,,A,394,E,120,D
