QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,EDUC_AY,EDUC_AY_,EDUCGFTC,EDUC_FTC,EDSCHL_A,EDSC_L_A,EDMONTHA,EDMO_THA,EDREIMBX,EDRE_MBX,JEDUCNET,JEDU_NET,EDUC_A1,EDUC_A1_,EDUC_A2,EDUC_A2_,EDUC_A3,EDUC_A3_,EDUC_A4,EDUC_A4_,EDUC_A5,EDUC_A5_,EDUC_A6,EDUC_A6_,EDUC_A7,EDUC_A7_,EDUC_A8,EDUC_A8_,EDUC_A9,EDUC_A9_
20202,04223524,14,0,1,380,D,1,D,,A,13,D,,A,,H,100,D,200,D,,A,,A,,A,,A,,A,,A,,A
20202,04223524,14,1,1,100,D,1,D,,A,13,D,,A,489,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04223524,14,2,1,200,D,1,D,,A,13,D,,A,1442,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04223524,15,0,1,100,D,1,D,,A,13,D,,A,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04223524,16,0,1,100,D,1,D,,A,13,D,,A,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04223524,17,0,1,100,D,1,D,,A,13,D,,A,92,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04223524,18,0,1,100,D,1,D,,A,13,D,,A,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04223524,19,0,1,100,D,1,D,,A,13,D,,A,87,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04223524,20,0,1,100,D,1,D,,A,13,D,,A,134,E,380,D,100,D,,A,,A,,A,,A,,A,,A,,A
20202,04223554,2,0,2,360,D,1,D,2,D,01,D,,A,90,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04223654,7,0,1,300,D,1,D,1,D,03,D,,A,2600,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04223804,3,0,1,350,D,1,D,2,D,01,D,,A,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04223834,8,0,1,350,D,1,D,2,D,03,D,,A,145,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04223894,15,0,1,100,D,1,D,,A,01,D,,A,89,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04223894,16,0,1,100,D,1,D,,A,02,D,,A,89,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04223894,17,0,1,100,D,1,D,,A,03,D,,A,45,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04224034,9,0,1,360,D,1,D,2,D,13,D,,A,280,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04224084,12,0,1,300,D,2,D,1,D,01,D,,A,13000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04224084,13,0,1,300,D,2,D,1,D,01,D,,A,1200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04224084,14,0,1,300,D,1,D,1,D,01,D,,A,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04224084,15,0,2,300,D,1,D,1,D,01,D,,A,1900,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04224084,16,0,2,350,D,1,D,1,D,01,D,,A,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04224204,2,0,2,350,D,2,D,1,D,01,D,,A,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04224344,1,0,1,200,D,1,D,,A,01,D,,A,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04224344,2,0,1,200,D,1,D,,A,02,D,,A,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04224344,3,0,1,200,D,1,D,,A,03,D,,A,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04224554,2,0,2,300,D,1,D,1,D,01,D,,A,5000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04225054,17,0,1,100,D,1,D,,A,13,D,,A,90,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04225054,18,0,1,200,D,1,D,,A,13,D,,A,145,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04225054,19,0,2,100,D,1,D,,A,01,D,,A,318,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04225064,2,0,1,100,D,1,D,,A,13,D,,A,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04225114,8,0,1,100,D,1,D,,A,02,D,,A,70,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04225114,9,0,1,100,D,1,D,,A,03,D,,A,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04225114,10,0,1,310,D,2,D,,A,01,D,,A,680,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04225114,11,0,1,310,D,2,D,,A,02,D,,A,728,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04225114,12,0,1,310,D,2,D,,A,03,D,,A,675,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04225164,2,0,2,350,D,1,D,2,D,01,D,,A,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04226164,1,0,1,350,D,1,D,2,D,02,D,,A,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04226214,19,0,1,300,D,1,D,6,D,02,D,,A,350,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04226284,6,0,1,300,D,1,D,1,D,02,D,,A,6000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04226324,1,0,1,100,D,1,D,,A,13,D,,A,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04226894,5,0,1,350,D,1,D,5,D,02,D,,A,115,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04226904,5,0,1,300,D,1,D,1,D,03,D,,A,1100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04226904,6,0,1,350,D,1,D,1,D,03,D,,A,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04227134,8,0,1,100,D,1,D,,A,03,D,,A,275,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04227184,5,0,1,100,D,1,D,,A,13,D,,A,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04227334,17,0,1,200,D,1,D,,A,02,D,,A,155,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04227334,18,0,1,200,D,1,D,,A,03,D,,A,155,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04227354,7,0,1,200,D,1,D,,A,03,D,,A,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04227844,8,0,1,200,D,1,D,,A,13,D,,A,420,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04227904,5,0,1,200,D,1,D,,A,02,D,,A,210,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04227904,6,0,1,200,D,1,D,,A,03,D,,A,210,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04228024,7,0,1,200,D,1,D,,A,02,D,,A,1000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04228254,13,0,1,300,D,1,D,1,D,02,D,,A,10800,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04228254,14,0,1,310,D,1,D,,A,02,D,1700,D,0,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04228254,15,0,1,320,D,1,D,,A,02,D,1600,D,0,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04228254,16,0,1,345,D,1,D,,A,02,D,,A,17,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04228264,10,0,1,100,D,1,D,,A,13,D,,A,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04228604,9,0,1,300,D,1,D,1,D,02,D,,A,25000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04228664,5,0,1,300,D,1,D,2,D,13,D,,A,350,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04228664,6,0,1,300,D,1,D,1,D,02,D,,A,370,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04228664,7,0,1,300,D,1,D,1,D,03,D,,A,370,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04228664,8,0,1,300,D,1,D,1,D,04,D,,A,107,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04228664,9,0,1,100,D,1,D,,A,13,D,,A,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04228664,10,0,1,100,D,1,D,,A,13,D,,A,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04228704,1,0,1,200,D,1,D,,A,02,D,550,D,900,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04228834,5,0,1,300,D,1,D,1,D,13,D,,A,480,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04228904,7,0,1,300,D,1,D,1,D,04,D,,A,1300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04229004,6,0,1,100,D,1,D,,A,13,D,,A,45,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04229064,2,0,1,360,D,1,D,2,D,03,D,,A,45,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04229394,8,0,1,200,D,1,D,,A,03,D,,A,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04229774,7,0,1,100,D,1,D,,A,13,D,,A,167,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04229774,8,0,1,200,D,1,D,,A,02,D,,A,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04229844,9,0,1,360,D,1,D,6,D,02,D,,A,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04229844,10,0,1,360,D,1,D,6,D,02,D,,A,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04229844,11,0,1,360,D,1,D,6,D,02,D,,A,17,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04229844,12,0,1,360,D,1,D,6,D,03,D,,A,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04229904,8,0,1,360,D,1,D,2,D,03,D,,A,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04229964,2,0,2,360,D,1,D,2,D,02,D,,A,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04230164,5,0,1,300,D,1,D,2,D,13,D,,A,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04231234,8,0,1,200,D,1,D,,A,02,D,,A,360,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04231334,4,0,1,100,D,1,D,,A,03,D,,A,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04231524,5,0,1,350,D,1,D,1,D,02,D,,A,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04231524,6,0,1,300,D,1,D,1,D,13,D,,A,530,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04231724,3,0,1,345,D,1,D,,A,13,D,,A,160,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04232244,3,0,1,100,D,1,D,,A,13,D,,A,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
